Ticker,Fundamental Grade,Sentiment Score,Company Name,Market Cap,MTD,QTD,YTD,Last Close
CRUS,62.7,6.5,"Cirrus Logic, Inc.",4725.89,-2.97,-2.97,0.47,82.59
FDS,62.5,7.8,FactSet Research Systems ,13079.8,6.46,6.46,7.45,357.28
CDW,62.4,6.5,CDW Corp.,25672.8,4.98,4.98,39.12,183.35
PTC,62.4,5.9,PTC Inc.,15545.2,-4.11,-4.11,13.24,135.45
K,62.4,7.3,Kellogg Company,21471.7,-1.51,-1.51,1.82,63.36
CHE,62.3,5.4,Chemed Corporation,7509.61,0.32,0.32,-10.63,476.02
LLY,62.3,8.1,Eli Lilly and Company,235278,6.09,6.09,44.22,243.5
PH,62.3,8.5,Parker-Hannifin Corporati,39922.2,1.6,1.6,14.54,312.03
FORM,62.1,2.8,"FormFactor, Inc.",2801.4,2.19,2.19,-13.39,37.26
FHI,62.1,7,"Federated Hermes, Inc. Cl",3261.89,-4.34,-4.34,12.29,32.44
NESR,62.1,4.6,National Energy Services ,1191.99,-9.47,-9.47,29.91,12.9
BDX,62,6.9,"Becton, Dickinson and Com",74248.7,5.17,5.17,2.21,255.75
CABO,62,8.7,"Cable One, Inc.",11392.9,-1.3,-1.3,-15.25,1887.99
ALRM,61.9,4,"Alarm.com Holdings, Inc.",4151.82,-1.75,-1.75,-19.56,83.22
LOPE,61.9,2.8,"Grand Canyon Education, I",4299.87,2.67,2.67,-0.8,92.37
FAST,61.7,6.6,Fastenal Company,31524.4,5.33,5.33,12.17,54.77
CDNS,61.6,7.2,"Cadence Design Systems, I",40354.5,7.92,7.92,8.22,147.65
EPAM,61.6,9.5,"EPAM Systems, Inc.",31369,9.56,9.56,56.22,559.8
BKI,61.6,8.2,"Black Knight, Inc.",12854.9,6.19,6.19,-6.27,82.81
FOXA,61.6,6.4,Fox Corporation Class A,21061.5,-3.96,-3.96,22.46,35.66
PG,61.5,7.6,Procter & Gamble Company,341479,5.41,5.41,2.22,142.23
SEM,61.5,9.1,Select Medical Holdings C,5280.3,-6.65,-6.65,42.63,39.45
VMW,61.3,6.6,"VMware, Inc. Class A",64796,-3.89,-3.89,9.61,153.74
TTD,61.3,7.6,"Trade Desk, Inc. Class A",36644.2,5.88,5.88,2.26,81.91
BR,61.3,9.2,Broadridge Financial Solu,20028.3,7.4,7.4,13.24,173.49
CSCO,61,5.2,"Cisco Systems, Inc.",232076,4.47,4.47,23.73,55.37
DVA,60.6,7.8,DaVita Inc.,12638.9,-0.15,-0.15,2.43,120.25
CERN,60.6,6.5,Cerner Corporation,23662.4,2.85,2.85,2.43,80.39
MAS,60.4,7.8,Masco Corporation,14498.6,1.36,1.36,8.7,59.71
ORLY,60.3,7.4,"O'Reilly Automotive, Inc.",41600.3,6.65,6.65,33.43,603.84
WD,60.3,5.4,"Walker & Dunlop, Inc.",3324.46,-0.86,-0.86,12.45,103.48
TNET,60.1,7.3,"TriNet Group, Inc.",5393.71,14.49,14.49,2.95,82.98
EBAY,60.1,6.9,eBay Inc.,50011.4,-2.85,-2.85,35.74,68.21
DLB,60,7.8,"Dolby Laboratories, Inc. ",9704.31,-1.21,-1.21,-0.03,97.1
XLNX,60,7.3,"Xilinx, Inc.",36205.4,3.6,3.6,5.69,149.84
COWN,60,5.6,Cowen Inc Class A,1175.37,-2.61,-2.61,53.83,39.98
SYBT,59.8,5.9,"Stock Yards Bancorp, Inc.",1270.91,-6.39,-6.39,17.69,47.64
CL,59.7,7,Colgate-Palmolive Company,70655.3,-2.27,-2.27,-7.03,79.5
NDSN,59.6,7.3,Nordson Corporation,13076.9,3.02,3.02,12.53,226.13
SLM,59.3,6.9,SLM Corp,5807.27,-10.08,-10.08,51.98,18.83
DELL,59.2,8.5,Dell Technologies Inc Cla,73917.6,-3.06,-3.06,31.83,96.62
EW,59.1,9.1,Edwards Lifesciences Corp,69387.1,8.4,8.4,23.06,112.27
GM,59,9,General Motors Company,83094.4,-3.94,-3.94,36.5,56.84
W,59,4.2,"Wayfair, Inc. Class A",27295,-23.55,-23.55,6.89,241.36
DORM,59,5.8,"Dorman Products, Inc.",3224.31,-2.43,-2.43,16.51,101.15
MRK,58.7,6.2,"Merck & Co., Inc.",194791,-1.16,-1.16,-1.45,76.87
CTLT,58.3,8.2,Catalent Inc,20325.2,10.81,10.81,15.12,119.81
DLTR,58.2,2.4,"Dollar Tree, Inc.",22986.6,0.29,0.29,-7.64,99.79
BLL,58.1,5.3,Ball Corporation,26591.9,-0.17,-0.17,-13.2,80.88
ADSK,58.1,6,"Autodesk, Inc.",70514.2,10.01,10.01,5.17,321.13
ANSS,58.1,6.9,"ANSYS, Inc.",31842.6,6.17,6.17,1.28,368.46
SO,58.1,7.6,Southern Company,68109.1,5.55,5.55,3.97,63.87
ITW,58,7.9,Illinois Tool Works Inc.,72147.7,1.39,1.39,11.18,226.67
CHD,57.9,7.2,"Church & Dwight Co., Inc.",21314.3,1.6,1.6,-0.75,86.58
ADP,57.8,6.9,Automatic Data Processing,88481.3,5.54,5.54,18.97,209.63
PTON,57,3.7,"Peloton Interactive, Inc.",35228.4,-4.81,-4.81,-22.19,118.05
TW,56.8,6.5,"Tradeweb Markets, Inc. Cl",17537.1,2.57,2.57,38.88,86.73
MYE,56.8,8.6,"Myers Industries, Inc.",774.41,0.86,0.86,1.93,21.18
BWA,56.4,8,BorgWarner Inc.,11728.6,0.91,0.91,26.76,48.98
HII,56.1,8.6,Huntington Ingalls Indust,8337.34,-2.67,-2.67,20.33,205.13
CI,56,7.6,Cigna Corporation,78563.3,-3.2,-3.2,10.24,229.49
MWA,55.9,8.2,"Mueller Water Products, I",2341.43,2.77,2.77,19.71,14.82
MO,55.8,8,Altria Group Inc,89622.3,0.76,0.76,17.17,48.04
CAG,55.6,4.1,"Conagra Brands, Inc.",16158.2,-7.94,-7.94,-7.64,33.49
FMC,55,4.4,FMC Corporation,13779.5,-1.16,-1.16,-6.94,106.95
RPRX,54.9,3.5,Royalty Pharma Plc Class ,15026.8,-6.81,-6.81,-23.68,38.2
MASI,54.8,6.8,Masimo Corporation,15019.5,12.35,12.35,1.49,272.39
CQP,54.6,7.9,"Cheniere Energy Partners,",20353.1,-4.56,-4.56,19.92,42.27
PWR,54.3,8.4,"Quanta Services, Inc.",12743.2,0.36,0.36,26.22,90.9
GIS,54.3,5.9,"General Mills, Inc.",35770.7,-3.4,-3.4,0.1,58.86
CLX,54.1,5.4,Clorox Company,22740.2,0.55,0.55,-10.42,180.89
SJM,53.7,7.3,J.M. Smucker Company,14235.3,1.19,1.19,13.42,131.11
MKTX,53.6,3.2,MarketAxess Holdings Inc.,18079.8,2.5,2.5,-16.72,475.17
TDY,53.4,7.2,Teledyne Technologies Inc,20893.8,8.1,8.1,15.51,452.77
FTV,52.9,7.9,Fortive Corp.,24734.4,4.19,4.19,2.6,72.66
J,52,8.5,Jacobs Engineering Group ,17777,1.37,1.37,24.13,135.25
BF.B,50.8,4.5,Brown-Forman Corporation ,34217.1,-5.36,-5.36,-10.71,70.92
STZ,50.7,7.3,"Constellation Brands, Inc",42601.5,-4.08,-4.08,2.42,224.34
CTXS,49.1,0.4,"Citrix Systems, Inc.",12292.5,-14.09,-14.09,-22.56,100.75
RMD,48.1,9.5,ResMed Inc.,39250.6,10.26,10.26,27.87,271.8
PPL,46.8,6,PPL Corporation,21997.9,1.43,1.43,0.6,28.37
BAX,46.1,5.7,Baxter International Inc.,38683,-3.91,-3.91,-3.6,77.35
CAH,45.9,7,"Cardinal Health, Inc.",17406,4.01,4.01,10.87,59.38
UTHR,45.8,3.7,United Therapeutics Corpo,8269.89,1.41,1.41,19.86,181.93
ATGE,44.8,8.1,Adtalem Global Education ,1797.57,1.96,1.96,7.04,36.34
AMRX,43.5,5.7,"Amneal Pharmaceuticals, I",733.19,-3.71,-3.71,7.88,4.93
KR,42.3,8.7,Kroger Co.,30427.5,6.24,6.24,28.15,40.7
INSW,40.2,2.5,"International Seaways, In",847.66,-14.23,-14.23,0.74,16.45
HUM,38.5,8.3,Humana Inc.,55572.8,-3.81,-3.81,3.8,425.86
KSU,35.9,7,Kansas City Southern,24016.5,-5.5,-5.5,31.19,267.8
CCMP,34.1,2.7,"CMC Materials, Inc.",4195,-4.05,-4.05,-4.4,144.64
FF,28.3,2.4,FutureFuel Corp.,374.44,-11.46,-11.46,-33.07,8.5
VHC,14.2,2.3,VirnetX Holding Corporati,297.74,-3.98,-3.98,-18.65,4.1
